Código,Nombre,Unidad,Familia,Subfamilia,Especialista,Iva,Activo,Servicio,,,,,,,,,,
851,Alternador F150 DL8447,PIEZA,ACCESORIOS,,NO,SI,NO,NO,,,,,,,,,,
852,Equilibrador Cofre  SYD-16114,PIEZA,ACCESORIOS,,NO,SI,NO,NO,,,,,,,,,,
853,CILINDRO Rueda izq  LUS-LC78974,PIEZA,ACCESORIOS,,NO,SI,NO,NO,,,,,,,,,,
854,CILINDRO Rueda der  LUS-LC78975,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
859,Balata Tambor   FRI-0W2182t,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
860,T  freno Tam DER   HO-kt307,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
861,T  freno Tam izq   HO-kt308,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
862,Tambor freno   RAY-9733,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
864,Aceite Quaker   QUA-250L,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
868,Bomba de freno   LUS-LC12036,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
869,Balata de freno delantera   RAY-7558d67,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
872,Disco delantero   RAY-66997R,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
873,Piston fren del   HO-210c,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
875,Liquido de frenos   BAR-FREL,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
876,Plumilla limpiaparabrisas   BOS-3397015,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
877,Halogeno 9007   APY-1952300,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
878,2 polos Trnasparente Star   APY-1952300,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
879,foco blanco 2 polos   APY-2010000,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
880,foco blanco  1 polo   APY-2012000,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
881,Polea compresor AC-F150 2007,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
882,Kit Faros delanteros F150 2007,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
883,Impermeabilizante 5 años Blanco,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
884,Cepillo aplicador impermeabilizante,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
885,Pintura Vinílica 1 Lt,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
886,Brocha 2 ½ “,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
892,Brocha 3 “,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
894,Brocha 5”,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
895,Tapon Macho ½ Galvanizado,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
897,Tapon Macho ¾ Galvanizado,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
899,Rodillo pintura vinílica,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
901,Junta Carter Express Silverado 1500 V6,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
904,Conexión espiga macho 4738,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
906,Foco bombillo tipo 921,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
907,Foco Philips 9007,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
909,Conector Foco 9007,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
910,Alternador DL7759,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
911,Manguera freno 71311,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
914,Aceite Multigrado 20W50,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
916,Filtro Aceite PH3600,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
917,Filtro Aire CA8039,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
919,Filtro de Gasolina G10166,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
923,Bujia NGK TR5-1GP,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
926,Buje suspensión,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
927,Amortiguador Delantero F150,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
928,Amortiguador Trasero F150,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
929,Banda Micro VF150 6PK2619,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
930,Manguera 35B 1Pulgada,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
931,Toma de Agua GOLF A2-A3,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
932,Rotula dirección,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
933,Rotula suspensión,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
934,Tornillo estabilizador,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
935,Base de amortiguador,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
936,Maza balero,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
938,Disco freno delantero,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
942,Tambor Freno trasero,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
943,Aceite ATF,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
944,Aceite Diferencial,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
945,Aceite Transmisión STD,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
946,Reten Diferencial,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
947,Foco H4,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
948,Foco H7,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
949,Foco H11,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
950,Foco 9001,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
951,Foco 3157NA,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
952,Foco 3157,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
953,Foco 1157,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
954,Polea Clutch A/C,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
955,Rectificación de motor,SERV,AUTOMOTRIZ,,NO,SI,NO,SI,,,,,,,,,,
957,Duralast Bomba de Aceite D-1155OP,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
958,Polea de Cigüeñal P-GM262A,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
959,Tapón roscado 65211,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
960,Distribuidor Chev V6 4.3L LT TBI 88/95NIK 1103725,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
961,Distribuidor Chev V8 5.7L LT TBI 86/94 NIK 1103952,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
962,VALVULA DE ESCAPE EN STD. MOTOR VORTEC V6 4.3L s-9764 STD,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
963,VALVULA DE ADMISION EN STD. MOTOR VORTEC V6 4.3L V-9763 STD,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
964,CAMISAPARA MOTOR EN STD MOTOR VORTEC. V6 4.3L YV8 5.7 L2268205,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
965,METALES ARBOL DE LEVAS EN STD. MOTOR VORTEC V6 4.3L  1463MSTD ,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
966,METALES DE BANCADA( CIGUEÑAL )EN STD. MOTOR VORTEC. V6 4.3L    5085MSTD SS ,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
967,METALES DE BIELAEN STD. MOTOR VORTEC V6 4.3L   6-1020CP STD SS,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
968,JUEGO COMPLETO DE EMPAQUES DE MOTOR VORTEC V6 4.3L    JC-1222-7,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
969,VALVULA DE ADMISION EN STD. MOTOR VORTEC V8 5.7L   V-2231 STD,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
971,VALVULA DE ESCAPE EN STD. MOTOR VORTEC V8 5.7L    S-2090 STD,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
972,METALES DE BANCADA(CIGUEÑAL ) EN STD. MOTOR VORTEC V8 5.7L  4663MSTD SS,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
974,JUEGO DE COJINETES ( METALES ) ARBOL DE LEVAS EN STD. MOTOR VORTEC V8 5.7   SH290S=1235MSTD,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
975,JUEGO DE METALES DE BIELAEN STD. MOTOR VORTEC V8 5.7L  8-2555CP STD,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
982,JUEGO COMPLETO DE EMPAQUES MOTOR VORTEC V8 5.7L  JC-1252-1 ,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
983,Cable batería Cal. 4 Rojo (APY-0908200),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
984,"MANGUERA RADIADOR FLEXIBLE 1-3/4"" X 19"" =508",PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
985,Cable batería Cal. 4 Rojo (APY-0908000),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
986,ACEITE QUAKER TRANSMISION STD LITRO,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
989,BANDA MICRO V ALTIMA CIRRUS 2.5LT V6 95/00=6PK1475,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
990,Terminal para batería Reforzada (APY-4086000),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
991,KIT Conector Bobina ChevIC29 (CIO-06634),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
992,GOMA CASETA CHICA (2-1/2X7/8X3/4) POLIURETANO,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
993,Conector sensor TEMP CHEV (CIO-05790),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
994,TOMA AGUA CHEV CTAS V6 4.3LT 90/95=VAR-6267,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,NO,NO
995,CONEXION ESPIGA MACHO=4738-2-4,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,NO,NO
996,CONEXION COPLE,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,NO,NO
1003,MANGUERA AMARILLA ALTA PRECIÒN 1/4 AIR MASTER (EC-200) 425,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,NO,NO
1007,"MANGUERA RADIADOR FLEXIBLE 1-3/4"" X 17"" =506",PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,NO,NO
1008,Goma Amortiguador Nylon Poliuretano,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,NO,NO
1009,"Abrazadera 5""",PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,NO,NO
1012,Tornillo sujetador marcha GM VORTEC,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,NO,NO
1013,"Tornillo Allen 3/8 x 1"" (NC STD)",PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,NO,NO
1014,Guantes p/mecánico ULINE QUICK ON™ Talla M Modelo S-14116  (4 pares) o similar,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,NO,NO
1016,Toallas p/ limpieza  1 caja (12 rollos) Modelo S-18119 Uline o similar,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1018,Ventilador Perkins 10 aspas,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1019,INTERRUPTOR UNIVERSAL2 POSICIONES MOTOR V6 Y V8 5.7L (82600),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1021,ABRAZADERA SIN FIN 9MM X 7/32 X 5/8 (8204),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1022,ABRAZADERA SIN FIN DE 1/2 X 23-39 MM (8516),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1024,ABRAZADERA SIN FIN DE 9 MM X 1 11/16 X 2 1/4 (8228),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1026,ABRAZADERA SIN FIN DE 9 MM X 7/16  X 25/32 (8206),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1033,ALTERNADOR DELCO DR44G CHEVROLET C-3500 MOTOR V6 4.3L Y V8 5.3L (A8301 NVO),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1036,BANDA PARA MOTOR  CHEVROLET V6 4.3L Y V8 5.7 L (K060557),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1037,BOBINA DE ENCENDIDO CHEVROLET SUBURBAN MOTOR VORTEC V6 4.3L Y V8 5.7L TBI (C-846 =DR37),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1047,BOMBA DE AGUA CHEVROLET C-3500 MOTOR V6 4.3L Y V8 5.7L (RP-968),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1050,Bujia ngk TR554161 (TR55),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1051,CABLE DE BUJIAS PARA CHEVROLET SILVERADO MOTOR V8 5.7L MOD. 95-99 (TL-GM7805),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1052,CINCHO DE SEGURIDAD MEDIANO BLANCO DE 36CM (CN36),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1053,FILTRO DE ACEITE CHEVROLET BLAZER MOTOR V6 4.3L (PH-3980),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1056,FILTRO DE ACEITE CHEVROLET SUBURBAN MOTOR V8 5.7L =GP-13 (PH-5),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1059,JUEGO DE ANILLOS EN STD. MOTOR V6 4.3L VORTEC CHEVROLET C-2500 (41786=3194KM),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1061,KIT DE DISTRIBUCION CADENA CHEVROLET C-2500 (C-3212),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1063,MARCHA DELCO PG260G CHEVROLET C-3500 DOBLE ROD. MOTOR 4.3L V6 Y 5.3 V8 (M6485 NVO),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1064,"PISTON EN STD. CHEVROLET G3500,P3500 MOTOR V6 4.3L VORTEC (918 STD)",PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1065,PISTON EN STD. MOTOR V8 5.7L CHEVROLET C-3500 MOTOR VORTEC (826 STD),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1066,POLEA TENSORA ( POLEA LOCA) CHEVROLET C-3500 MOTOR VORTEC (PTGM-011),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1067,PUNTERIA (BUZO) EN STD. MOTOR V6 4.3L MOTOR VORTEC (HR-355),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1068,PUNTERIA (BUZO) MOTOR V8 5.3L VORTEC CHEVROLET C3500 (HR-384),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1071,TAPON BOMBA DE AGUA CHEVROLET C-3500 DOBLE ROD.MOTOR VORTEC (6010 DAI),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1072,TAPON PARA RADIADOR (ST-16 (SS)),PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1073,"VALVULA PCV CHEVROLET P-30, MICROBUS MOTOR 5.7L (V201)",PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1074,FUSIBLE TERMICO 30 AMPERES,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1075,FUSIBLE TERMICO 40 AMPERES APY2071000,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1078,FUSIBLE MINI 30 AMPERES APY-2056200,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1079,FUSIBLE MINI 20 AMPERES =APY-2052200,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1084,FUSIBLE MINI 15 AMPERES =APY-2050200,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1085,FUSIBLE MINI 10 AMPERES = AUT F01107 APY-2048200,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1086,ACEITE QUAKER GREENOIL TRANSMISION STD,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1087,RETEN TRANS STD RANGER GM VAM =NAT7692-S,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1090,CRUETA CTA SENCILLA NUEVAS=1040 =354,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1091,SOQUET FOCO 9004/9007 = AUT-A96120 = AUT-S90047,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1092,"MANGUERA GASOLINA Y ACEITE 5/16""",PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1097,"PLUMA LIMPIAPARAB.ECO SET 22/22""PULG.= 3 397 005 287",PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1098,Filtro Aire CA-192 GONHER,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
1099,Filtro Donaldson P181059,PIEZA,AUTOMOTRIZ,,NO,SI,NO,NO,,,,,,,,,,
